Indexer,noterest.NoteRestIndexer,noterest.NoteRestIndexer,noterest.NoteRestIndexer,noterest.NoteRestIndexer
Parts,0,1,2,3
,,,,
980.0,--,--,A3,F3
984.0,Rest,Rest,A3,--
986.0,--,--,--,F3
988.0,--,--,--,F3
990.0,--,--,A3,--
992.0,Rest,Rest,A3,Rest
994.0,--,--,--,F3
996.0,--,--,G3,E3
998.0,--,--,A3,F3
1000.0,Rest,Rest,--,--
1001.0,--,--,B3,E3
1002.0,--,--,C4,D3
1003.0,--,--,--,C3
1004.0,--,--,--,D3
1006.0,--,--,B3,--
1008.0,E4,Rest,C4,C3
1012.0,E4,G3,--,--
1016.0,--,--,Rest,--
1018.0,E4,--,--,--
1020.0,E4,G3,C4,--
1024.0,Rest,--,C4,--
1026.0,G4,G3,C4,--
1028.0,G4,G3,C4,--
1029.0,--,A3,--,--
1030.0,E4,B3,--,--
1031.0,--,C4,--,--
1032.0,F4,D4,Rest,Rest
1034.0,G4,--,G3,--
1036.0,C4,Rest,A3,--
1038.0,--,A3,--,--
1039.0,--,--,G3,--
1040.0,--,A3,F3,Rest
1042.0,--,A3,F3,--
1044.0,G4,B3,E3,--
1046.0,--,--,G3,--
1047.0,A4,--,--,--
1048.0,B4,D4,--,Rest
1050.0,C5,E4,E3,--
1052.0,--,D4,F3,--
1053.0,B4,--,--,--
1054.0,B4,--,G3,--
1056.0,C5,C4,C3,Rest
1060.0,--,--,G3,C3
1064.0,--,--,G3,--
1066.0,--,--,G3,C3
1068.0,--,--,A3,C3
1072.0,Rest,Rest,B3,D3
1076.0,--,--,Rest,E3
1078.0,--,--,G3,--
1080.0,Rest,Rest,--,--
1082.0,--,--,A3,F3
1084.0,--,--,G3,E3
1086.0,--,--,A3,F3
1088.0,Rest,Rest,--,--
1089.0,--,--,G3,E3
1090.0,--,--,E3,E3
1092.0,--,--,F3,--
1094.0,--,--,--,D3
1096.0,G4,E4,E3,E3
1100.0,--,--,G3,Rest
1102.0,--,D4,--,E3
1104.0,G4,C4,--,--
1106.0,--,B3,F3,D3
1108.0,G4,E4,E3,C3
1110.0,--,--,D3,B2
1112.0,C5,E4,C3,A2
1116.0,--,--,E3,--
1120.0,B4,E4,G3,E3
1122.0,A4,--,--,--
1123.0,--,--,A3,--
1124.0,--,--,B3,--
1125.0,G#4,--,--,--
1126.0,G#4,--,--,--
1128.0,A4,--,A3,A2
1130.0,--,--,C4,--
1132.0,--,--,A3,--
1134.0,--,--,C4,--
1136.0,Rest,--,--,--
1137.0,--,--,B3,--
1138.0,C5,--,A3,--
1139.0,--,--,G3,--
1140.0,A4,--,A3,--
1142.0,C5,--,E3,--
1144.0,--,Rest,E3,--
1145.0,B4,--,--,--
1146.0,A4,C4,--,--
1147.0,G4,--,--,--
1148.0,A4,A3,--,--
1150.0,E4,C4,--,--
1152.0,E4,--,--,Rest
1153.0,--,B3,--,--
1154.0,--,A3,--,C3
1155.0,--,G3,--,--
1156.0,--,A3,--,A2
1158.0,--,E3,--,C3
1160.0,--,E3,Rest,--
1161.0,--,--,--,B2
1162.0,--,--,--,A2
1163.0,--,--,--,G2
1164.0,--,Rest,Rest,A2
1166.0,--,G3,E3,E2
1168.0,Rest,--,E3,E2
1169.0,--,A3,--,--
1170.0,E4,B3,G3,--
1172.0,E4,E3,--,--
1173.0,--,--,F3,--
1174.0,G4,--,E3,--
1175.0,--,--,D3,--
1176.0,--,Rest,E3,--
1177.0,F4,--,--,--
1178.0,E4,G3,B2,--
1179.0,D4,--,--,--
1180.0,E4,--,B2,--
1181.0,--,A3,--,--
1182.0,B3,B3,--,--
1184.0,B3,E3,Rest,Rest
1186.0,--,G3,--,E3
1188.0,--,--,Rest,E3
1189.0,--,A3,--,--
1190.0,--,B3,E3,G3
1192.0,--,E3,E3,--
1193.0,--,--,--,F3
1194.0,--,--,G3,E3
1195.0,--,--,--,D3
1196.0,--,Rest,--,E3
1197.0,--,--,A3,--
1198.0,--,--,B3,B2
1199.0,--,--,C4,--
1200.0,B3,Rest,D4,B2
1204.0,B3,E4,G3,E3
1207.0,C4,--,--,--
1208.0,D4,A3,F3,D3
1210.0,E4,C4,G3,C3
1212.0,--,D4,--,B2
1213.0,D4,--,F3,--
1214.0,D4,G3,D3,--
1216.0,--,A3,E3,A2
1218.0,C#4,--,--,--
1220.0,D4,--,D3,D3
1224.0,Rest,D4,A3,--
1226.0,--,--,--,D3
1228.0,--,--,--,D3
1230.0,--,D4,A3,D3
1232.0,Rest,F4,A3,D3
1234.0,--,--,A3,--
1235.0,--,E4,--,--
1236.0,--,D4,A3,F3
1238.0,--,C4,--,--
1239.0,--,--,--,E3
1240.0,Rest,F4,Rest,D3
1242.0,--,E4,--,C3
1244.0,--,--,A3,F3
1245.0,--,D4,--,--
1246.0,--,D4,--,--
1248.0,Rest,E4,B3,E3
1252.0,G4,--,B3,--
1256.0,--,--,G3,--
1258.0,G4,--,--,--
1260.0,G4,--,--,--
1262.0,G4,--,--,--
1264.0,G4,--,C4,Rest
1267.0,--,--,B3,--
1268.0,C5,--,A3,C3
1270.0,--,--,G3,--
1271.0,B4,--,F3,--
1272.0,A4,Rest,E3,--
1273.0,--,--,D3,--
1274.0,G4,--,G3,B2
1276.0,C5,C4,--,A2
1278.0,--,--,F#3,--
1279.0,--,D4,--,--
1280.0,B4,E4,G3,G2
1282.0,--,D4,--,--
1283.0,--,--,F3,A2
1284.0,Rest,--,D3,B2
1285.0,--,C4,--,--
1286.0,A4,A3,E3,C3
1288.0,--,B3,F3,D3
1290.0,G4,--,G3,E3
1292.0,A4,Rest,E3,A2
1294.0,--,A3,--,--
1295.0,G4,--,--,--
1296.0,F4,--,F3,D3
1297.0,E4,--,--,--
1298.0,E4,A3,--,--
1300.0,--,A3,--,--
1302.0,D4,A3,--,--
1304.0,E4,A3,E3,A2
1308.0,--,C4,--,--
1310.0,--,--,--,B2
1311.0,--,B3,--,--
1312.0,--,A3,--,C3
1314.0,--,G3,--,--
1316.0,--,C4,--,A2
1320.0,--,B3,--,E3
1328.0,--,--,--,E2
